nodenumber,    x-coordinate,    y-coordinate,      x-velocity,      y-velocity
      4095, 7.963220825E-02,-6.584462742E-02, 3.857287382E-04, 3.945222579E-04
      4096, 7.533492161E-02,-7.072931430E-02, 5.335445700E-04, 4.835599918E-04
      4097, 7.072881375E-02,-7.532821549E-02, 7.176456143E-04, 5.791213528E-04
      4098, 6.586533701E-02,-7.961839414E-02, 9.436355738E-04, 6.762208523E-04
      4099, 6.071873413E-02,-8.361657915E-02, 1.215408827E-03, 7.691575541E-04
      4100, 5.532912721E-02,-8.726333117E-02, 1.522689084E-03, 8.450689555E-04
      4101, 4.975440192E-02,-9.055334279E-02, 1.873014197E-03, 9.013263831E-04
      4102, 4.397060961E-02,-9.350224126E-02, 2.269985800E-03, 9.323086732E-04
      4103, 3.801816424E-02,-9.607847578E-02, 2.703768176E-03, 9.280007637E-04
      4104, 3.190320163E-02,-9.828036519E-02, 3.174046879E-03, 8.814942177E-04
      4105, 2.566564448E-02,-1.000852486E-01, 3.667441156E-03, 7.857259229E-04
      4106, 1.934125544E-02,-1.014917654E-01, 4.182416329E-03, 6.372115507E-04
      4107, 1.294921717E-02,-1.025057980E-01, 4.722676526E-03, 4.310325837E-04
      4108, 6.490850307E-03,-1.031219981E-01, 5.282721335E-03, 1.588775878E-04
      4109, 6.548451424E-03, 1.048321825E-01, 1.766724374E-02,-5.285854142E-04
      4110, 1.311606810E-02, 1.042252356E-01, 1.631078949E-02,-1.441812004E-03
      4111, 1.961517368E-02, 1.031963536E-01, 1.481601437E-02,-2.180626196E-03
      4112, 2.604641932E-02, 1.017720659E-01, 1.328861996E-02,-2.744673101E-03
      4113, 3.238997595E-02, 9.994256452E-02, 1.172990499E-02,-3.131426348E-03
      4114, 3.860813172E-02, 9.770595141E-02, 1.015650016E-02,-3.339064577E-03
      4115, 4.466118701E-02, 9.508858377E-02, 8.636838455E-03,-3.385247869E-03
      4116, 5.054237407E-02, 9.209165279E-02, 7.193424998E-03,-3.288816928E-03
      4117, 5.621282632E-02, 8.875098130E-02, 5.876728593E-03,-3.079809078E-03
      4118, 6.169758503E-02, 8.505050527E-02, 4.688134601E-03,-2.776430924E-03
